kill date,kill year,kill month,NZDI,Animal Type,Transport distance (calculated),Processing location,lairage time (calculated),Presentation Grade,Grade,live weight,carcass weight,Teeth,Total number of defects,Yield,Animal Type_num,Grade_num,Presentation Grade_num,Age,Waste,price/kg,price
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,M,559.6,241.5,8.0,1,,0,2,0,48.0,318.1,3.3,796.9499999999999
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,P2,602.0,267.5,8.0,0,,0,4,0,48.0,334.5,3.6,963.0
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,M,517.0,226.0,8.0,0,,0,2,0,48.0,291.0,3.3,745.8
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,P3,488.5,207.0,8.0,0,,0,5,0,48.0,281.5,3.2,662.4000000000001
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,P2,541.8,233.0,8.0,0,,0,4,0,48.0,308.79999999999995,3.6,838.8000000000001
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,M,521.5,219.0,8.0,0,,0,2,0,48.0,302.5,3.3,722.6999999999999
2020-02-28,2020,2,1.41,cow,42.714285714285715,C,15.0,A,M,675.1,280.5,8.0,0,,0,2,0,48.0,394.6,3.3,925.65
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,556.2,263.5,8.0,2,,0,2,0,48.0,292.70000000000005,3.3,869.55
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,457.7,211.5,8.0,0,,0,2,0,48.0,246.2,3.3,697.9499999999999
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,702.1,359.0,8.0,3,,0,2,0,48.0,343.1,3.3,1184.7
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,600.5,289.5,8.0,2,,0,2,0,48.0,311.0,3.3,955.3499999999999
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,605.7,275.5,8.0,2,,0,2,0,48.0,330.20000000000005,3.3,909.15
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,654.2,278.0,8.0,2,,0,2,0,48.0,376.20000000000005,3.3,917.4
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,593.2,283.0,8.0,1,,0,2,0,48.0,310.20000000000005,3.3,933.9
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,491.0,225.5,8.0,1,,0,2,0,48.0,265.5,3.3,744.15
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,567.1,255.0,8.0,0,,0,2,0,48.0,312.1,3.3,841.5
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,430.0,188.0,8.0,1,,0,2,0,48.0,242.0,3.3,620.4
2020-04-08,2020,4,0.93,cow,39.42857142857143,A,4.0,A,M,605.2,294.5,8.0,4,,0,2,0,48.0,310.70000000000005,3.3,971.8499999999999
2020-05-13,2020,5,0.31,heifer,42.714285714285715,C,20.0,A,P2,463.1,239.5,0.0,0,,1,4,0,8.0,223.60000000000002,5.6,1341.1999999999998
2020-05-13,2020,5,0.31,heifer,42.714285714285715,C,20.0,A,P2,462.6,248.0,2.0,0,,1,4,0,24.0,214.60000000000002,5.6,1388.8
2020-05-13,2020,5,0.31,heifer,42.714285714285715,C,20.0,A,P2,506.8,255.0,0.0,0,,1,4,0,8.0,251.8,5.6,1428.0
2020-05-13,2020,5,0.31,heifer,42.714285714285715,C,20.0,A,P2,558.3,295.0,2.0,0,,1,4,0,24.0,263.29999999999995,5.6,1652.0
