Date(NZST),Time(NZST),MnDir(degT),MnSpd(mps),StdDir(degT),StdSpd(mps),MnTemp(C),MnRH(%),Rain(mm),RadGlb(MJ/m2),Average W/m2
01/11/2019,00:00:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,00:10:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,00:20:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,00:30:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,00:40:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,00:50:00,281,7.14,,,11.6,76,0.0,0.0,0.0
01/11/2019,01:00:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,01:10:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,01:20:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,01:30:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,01:40:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,01:50:00,274,6.51,,,11.6,73,0.0,0.0,0.0
01/11/2019,02:00:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,02:10:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,02:20:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,02:30:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,02:40:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,02:50:00,265,4.52,,,11.2,74,0.0,0.0,0.0
01/11/2019,03:00:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,03:10:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,03:20:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,03:30:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,03:40:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,03:50:00,254,3.54,,,10.5,77,0.0,0.0,0.0
01/11/2019,04:00:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,04:10:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,04:20:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,04:30:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,04:40:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,04:50:00,145,1.58,,,8.5,90,0.0,0.0,0.0
01/11/2019,05:00:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,05:10:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,05:20:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,05:30:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,05:40:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,05:50:00,86,2.71,,,9.1,76,0.0,0.0,0.0
01/11/2019,06:00:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,06:10:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,06:20:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,06:30:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,06:40:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,06:50:00,105,2.38,,,8.6,74,0.0,0.0228,6.333333333333333
01/11/2019,07:00:00,93,1.7,,,10.6,67,0.0,0.1272,35.333333333333336
01/11/2019,07:10:00,93,1.7,,,10.6,67,0.0,0.1272,35.333333333333336
01/11/2019,07:20:00,93,1.7,,,10.6,67,0.0,0.1272,35.333333333333336
01/11/2019,07:30:00,93,1.7,,,10.6,67,0.0,0.1272,35.333333333333336
