model_name,feature_set,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,n_features,n_missing_feature_values,best_params
Logistic Regression,Non-weather only,steer,has defects,Accuracy,1,Train,0.6791338582677166,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,2,Train,0.6856581532416502,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,3,Train,0.6817288801571709,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,4,Train,0.6777996070726916,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,5,Train,0.68762278978389,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,1,Test,0.65625,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,2,Test,0.7007874015748031,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,3,Test,0.6929133858267716,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,4,Test,0.7165354330708661,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Accuracy,5,Test,0.6220472440944882,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,1,Train,0.6678879310344827,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,2,Train,0.6760028653295129,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,3,Train,0.6680605300859599,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,4,Train,0.670272206303725,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,5,Train,0.6774355300859599,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,1,Test,0.6613636363636364,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,2,Test,0.6938218390804598,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,3,Test,0.6880747126436781,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,4,Test,0.6850574712643678,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,Balanced Accuracy,5,Test,0.6228448275862069,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,1,Train,0.555858310626703,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,2,Train,0.5652173913043478,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,3,Train,0.554945054945055,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,4,Train,0.5591397849462365,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,5,Train,0.5667574931880109,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,1,Test,0.5510204081632653,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,2,Test,0.5869565217391305,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,3,Test,0.5806451612903226,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,4,Test,0.5714285714285714,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,F1,5,Test,0.5102040816326531,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,1,Train,0.6673670977011493,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,2,Train,0.6804172636103153,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,3,Train,0.6661353868194843,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,4,Train,0.6851987822349571,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,5,Train,0.682297636103152,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,1,Test,0.6995738636363636,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,2,Test,0.6484195402298851,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,3,Test,0.703448275862069,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,4,Test,0.6336206896551725,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,steer,has defects,ROC AUC,5,Test,0.6363505747126437,636,200,4,221,"{'imputer_strategy': 'mean', 'C': 0.011751252892863596, 'l1_ratio': 0.324950999658733}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,1,Train,0.5161290322580645,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,2,Train,0.5645161290322581,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,3,Train,0.5591397849462365,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,4,Train,0.5935828877005348,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,5,Train,0.6096256684491979,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,1,Test,0.5319148936170213,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,2,Test,0.574468085106383,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,3,Test,0.5531914893617021,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,4,Test,0.5869565217391305,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Accuracy,5,Test,0.5652173913043478,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,1,Train,0.5167567567567568,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,2,Train,0.5854054054054054,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,3,Train,0.5981981981981982,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,4,Train,0.5829777145566619,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,5,Train,0.6300595238095238,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,1,Test,0.5310150375939849,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,2,Test,0.6259398496240601,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,3,Test,0.5911654135338346,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,4,Test,0.5615079365079365,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,Balanced Accuracy,5,Test,0.5672514619883041,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,1,Train,0.4642857142857143,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
