model_name,feature_set,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_features,n_missing_feature_values,best_params
ElasticNet,Non-weather only,steer,live weight,MAE,1,Train,32.21344523463651,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,2,Train,29.015374928289084,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,3,Train,30.37238374936794,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,4,Train,30.831574004546066,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,5,Train,31.121522384732632,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,1,Test,25.331186372576337,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,2,Test,37.625803589230735,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,3,Test,31.680869292285212,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,4,Test,30.707184606682183,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MAE,5,Test,29.261262873654733,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,1,Train,2289.8528068700143,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,2,Train,1391.5370346349478,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,3,Train,2132.0656948537985,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,4,Train,2185.056222526831,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,5,Train,2207.4989904674576,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,1,Test,1072.2680396186943,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,2,Test,4643.203487773586,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,3,Test,1691.160201249367,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,4,Test,1486.8883656961057,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,steer,live weight,MSE,5,Test,1389.5869021243536,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.279217068819265, 'l1_ratio': 0.8005929664311326}"
ElasticNet,Non-weather only,heifer,live weight,MAE,1,Train,24.491674566290882,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,2,Train,21.868344723472386,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,3,Train,23.235426584862797,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,4,Train,23.110296258131367,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,5,Train,22.045436009065266,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,1,Test,20.436325518619785,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,2,Test,26.10858809668541,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,3,Test,20.422173708660328,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,4,Test,20.78325687960324,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MAE,5,Test,28.224733432951076,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,1,Train,994.1222061449092,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,2,Train,831.671968811723,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,3,Train,919.8495610551771,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,4,Train,893.4491891505372,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,5,Train,773.934826826661,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,1,Test,647.290592764999,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,2,Test,1033.7613246744788,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,3,Test,667.8717547793964,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,4,Test,734.0679741636911,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,heifer,live weight,MSE,5,Test,1457.7211930937485,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.003555822986184004, 'l1_ratio': 0.2860079684248935}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,1,Train,16.2557082061132,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,2,Train,15.202857284636965,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,3,Train,15.650998307159902,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,4,Train,15.348301567862872,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,5,Train,15.555054448876417,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,1,Test,13.330403073842355,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,2,Test,17.193617026404826,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,3,Test,15.588563597773968,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,4,Test,16.719117810297103,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MAE,5,Test,15.82364652737031,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,1,Train,441.8802900537302,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,2,Train,385.6961948873537,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,3,Train,416.8943617173528,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,4,Train,412.61951886397395,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,5,Train,421.938998876527,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,1,Test,322.6611070446033,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,2,Test,547.9748043851927,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,3,Test,417.6498318207567,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,4,Test,435.29619565094396,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,steer,carcass weight,MSE,5,Test,395.31569858541326,594,4,297,"{'imputer_strategy': 'mean', 'alpha': 0.05331747213579181, 'l1_ratio': 0.3714103305019926}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,1,Train,12.451089650918421,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,2,Train,12.36714944915284,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,3,Train,12.553546222192939,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
