model_name,animal_type,target,max_lag,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error
Dummy Regressor,cow,live weight,3,MAE,1,Train,48.07777777777777
Dummy Regressor,cow,live weight,3,MAE,2,Train,41.25186267348429
Dummy Regressor,cow,live weight,3,MAE,3,Train,45.74141709276846
Dummy Regressor,cow,live weight,3,MAE,4,Train,44.82132943754567
Dummy Regressor,cow,live weight,3,MAE,5,Train,53.66515704894085
Dummy Regressor,cow,live weight,3,MAE,1,Test,45.97333333333334
Dummy Regressor,cow,live weight,3,MAE,2,Test,69.23123123123123
Dummy Regressor,cow,live weight,3,MAE,3,Test,50.97177177177175
Dummy Regressor,cow,live weight,3,MAE,4,Test,57.351951951951975
Dummy Regressor,cow,live weight,3,MAE,5,Test,18.804204204204186
Dummy Regressor,cow,live weight,3,MSE,1,Train,3733.3552469135807
Dummy Regressor,cow,live weight,3,MSE,2,Train,2786.9518042366694
Dummy Regressor,cow,live weight,3,MSE,3,Train,3731.6717750182615
Dummy Regressor,cow,live weight,3,MSE,4,Train,3330.7263696128575
Dummy Regressor,cow,live weight,3,MSE,5,Train,4397.859108838569
Dummy Regressor,cow,live weight,3,MSE,1,Test,3518.3310864197542
Dummy Regressor,cow,live weight,3,MSE,2,Test,7216.743871439006
Dummy Regressor,cow,live weight,3,MSE,3,Test,3390.6340508075623
Dummy Regressor,cow,live weight,3,MSE,4,Test,4937.887924681441
Dummy Regressor,cow,live weight,3,MSE,5,Test,449.63908935962894
Dummy Regressor,steer,live weight,3,MAE,1,Train,33.93858222046176
Dummy Regressor,steer,live weight,3,MAE,2,Train,30.540221819827977
Dummy Regressor,steer,live weight,3,MAE,3,Train,32.88279198732458
Dummy Regressor,steer,live weight,3,MAE,4,Train,32.32879838162064
Dummy Regressor,steer,live weight,3,MAE,5,Train,33.34879470348573
Dummy Regressor,steer,live weight,3,MAE,1,Test,28.27088048890902
Dummy Regressor,steer,live weight,3,MAE,2,Test,39.964282480760524
Dummy Regressor,steer,live weight,3,MAE,3,Test,31.064791760977815
Dummy Regressor,steer,live weight,3,MAE,4,Test,34.19616908103213
Dummy Regressor,steer,live weight,3,MAE,5,Test,29.896220009053874
Dummy Regressor,steer,live weight,3,MSE,1,Train,2630.869411427682
Dummy Regressor,steer,live weight,3,MSE,2,Train,1557.329068583069
Dummy Regressor,steer,live weight,3,MSE,3,Train,2528.707657028067
Dummy Regressor,steer,live weight,3,MSE,4,Train,2493.275401128905
Dummy Regressor,steer,live weight,3,MSE,5,Train,2589.432223856949
Dummy Regressor,steer,live weight,3,MSE,1,Test,1292.9829923749448
Dummy Regressor,steer,live weight,3,MSE,2,Test,5592.862602987778
Dummy Regressor,steer,live weight,3,MSE,3,Test,1694.2310641127203
Dummy Regressor,steer,live weight,3,MSE,4,Test,1835.6854386175871
Dummy Regressor,steer,live weight,3,MSE,5,Test,1449.1835411951108
Dummy Regressor,heifer,live weight,3,MAE,1,Train,24.990307152726118
Dummy Regressor,heifer,live weight,3,MAE,2,Train,24.14167286640451
Dummy Regressor,heifer,live weight,3,MAE,3,Train,23.08198667221991
Dummy Regressor,heifer,live weight,3,MAE,4,Train,23.922448979591834
Dummy Regressor,heifer,live weight,3,MAE,5,Train,22.802977925864223
Dummy Regressor,heifer,live weight,3,MAE,1,Test,19.14160824742268
Dummy Regressor,heifer,live weight,3,MAE,2,Test,22.51645360824741
Dummy Regressor,heifer,live weight,3,MAE,3,Test,26.69022108843537
Dummy Regressor,heifer,live weight,3,MAE,4,Test,23.614455782312945
Dummy Regressor,heifer,live weight,3,MAE,5,Test,28.103826530612263
Dummy Regressor,heifer,live weight,3,MSE,1,Train,1070.718486555426
Dummy Regressor,heifer,live weight,3,MSE,2,Train,993.5463577425871
Dummy Regressor,heifer,live weight,3,MSE,3,Train,911.5057028321531
Dummy Regressor,heifer,live weight,3,MSE,4,Train,956.6024614743856
Dummy Regressor,heifer,live weight,3,MSE,5,Train,856.8298427738442
Dummy Regressor,heifer,live weight,3,MSE,1,Test,525.1000454033372
Dummy Regressor,heifer,live weight,3,MSE,2,Test,825.8560422574126
Dummy Regressor,heifer,live weight,3,MSE,3,Test,1152.4060148549218
Dummy Regressor,heifer,live weight,3,MSE,4,Test,981.6251235596292
Dummy Regressor,heifer,live weight,3,MSE,5,Test,1394.9637116479264
Dummy Regressor,cow,carcass weight,3,MAE,1,Train,26.475308641975314
Dummy Regressor,cow,carcass weight,3,MAE,2,Train,22.566106647187727
Dummy Regressor,cow,carcass weight,3,MAE,3,Train,24.86121256391526
Dummy Regressor,cow,carcass weight,3,MAE,4,Train,24.50693937180424
Dummy Regressor,cow,carcass weight,3,MAE,5,Train,28.382761139517893
Dummy Regressor,cow,carcass weight,3,MAE,1,Test,25.03333333333335
Dummy Regressor,cow,carcass weight,3,MAE,2,Test,37.049549549549546
Dummy Regressor,cow,carcass weight,3,MAE,3,Test,27.545045045045054
Dummy Regressor,cow,carcass weight,3,MAE,4,Test,29.566066066066057
Dummy Regressor,cow,carcass weight,3,MAE,5,Test,12.48198198198198
Dummy Regressor,cow,carcass weight,3,MSE,1,Train,1076.3001543209875
Dummy Regressor,cow,carcass weight,3,MSE,2,Train,924.6322132943754
Dummy Regressor,cow,carcass weight,3,MSE,3,Train,1152.5628195763331
Dummy Regressor,cow,carcass weight,3,MSE,4,Train,1069.5745069393718
Dummy Regressor,cow,carcass weight,3,MSE,5,Train,1334.4970781592401
Dummy Regressor,cow,carcass weight,3,MSE,1,Test,1386.2859567901246
Dummy Regressor,cow,carcass weight,3,MSE,2,Test,1985.0757446635823
Dummy Regressor,cow,carcass weight,3,MSE,3,Test,1037.9529461894333
Dummy Regressor,cow,carcass weight,3,MSE,4,Test,1353.8872047723396
Dummy Regressor,cow,carcass weight,3,MSE,5,Test,244.06673565457348
Dummy Regressor,steer,carcass weight,3,MAE,1,Train,18.52254979628791
Dummy Regressor,steer,carcass weight,3,MAE,2,Train,17.573053417836125
Dummy Regressor,steer,carcass weight,3,MAE,3,Train,18.55784574468085
Dummy Regressor,steer,carcass weight,3,MAE,4,Train,17.477648257129925
Dummy Regressor,steer,carcass weight,3,MAE,5,Train,17.61908669081032
Dummy Regressor,steer,carcass weight,3,MAE,1,Test,15.561057039384337
Dummy Regressor,steer,carcass weight,3,MAE,2,Test,19.56190583974649
Dummy Regressor,steer,carcass weight,3,MAE,3,Test,15.611702127659575
Dummy Regressor,steer,carcass weight,3,MAE,4,Test,19.730619058397462
Dummy Regressor,steer,carcass weight,3,MAE,5,Test,19.33694545043006
Dummy Regressor,steer,carcass weight,3,MSE,1,Train,537.628727648257
Dummy Regressor,steer,carcass weight,3,MSE,2,Train,474.7773313716614
Dummy Regressor,steer,carcass weight,3,MSE,3,Train,532.3886303191489
Dummy Regressor,steer,carcass weight,3,MSE,4,Train,481.87086740323673
Dummy Regressor,steer,carcass weight,3,MSE,5,Train,501.1260309387732
Dummy Regressor,steer,carcass weight,3,MSE,1,Test,379.2921924513355
Dummy Regressor,steer,carcass weight,3,MSE,2,Test,630.5278972385696
Dummy Regressor,steer,carcass weight,3,MSE,3,Test,399.92386968085106
Dummy Regressor,steer,carcass weight,3,MSE,4,Test,603.1393040544365
Dummy Regressor,steer,carcass weight,3,MSE,5,Test,524.624916888298
Dummy Regressor,heifer,carcass weight,3,MAE,1,Train,14.465830587735146
Dummy Regressor,heifer,carcass weight,3,MAE,2,Train,13.214475502178766
Dummy Regressor,heifer,carcass weight,3,MAE,3,Train,12.933985839233651
Dummy Regressor,heifer,carcass weight,3,MAE,4,Train,14.49396084964598
Dummy Regressor,heifer,carcass weight,3,MAE,5,Train,13.025510204081632
Dummy Regressor,heifer,carcass weight,3,MAE,1,Test,10.409484536082473
Dummy Regressor,heifer,carcass weight,3,MAE,2,Test,15.28082474226804
Dummy Regressor,heifer,carcass weight,3,MAE,3,Test,16.47448979591837
Dummy Regressor,heifer,carcass weight,3,MAE,4,Test,10.617346938775512
Dummy Regressor,heifer,carcass weight,3,MAE,5,Test,16.05229591836735
Dummy Regressor,heifer,carcass weight,3,MSE,1,Train,364.34583909023274
Dummy Regressor,heifer,carcass weight,3,MSE,2,Train,302.4874056754171
Dummy Regressor,heifer,carcass weight,3,MSE,3,Train,303.0735110370679
Dummy Regressor,heifer,carcass weight,3,MSE,4,Train,353.0520616409829
Dummy Regressor,heifer,carcass weight,3,MSE,5,Train,282.6148740108288
Dummy Regressor,heifer,carcass weight,3,MSE,1,Test,156.11106812626207
Dummy Regressor,heifer,carcass weight,3,MSE,2,Test,396.2022850462323
Dummy Regressor,heifer,carcass weight,3,MSE,3,Test,397.5893290989866
Dummy Regressor,heifer,carcass weight,3,MSE,4,Test,199.5180914202416
Dummy Regressor,heifer,carcass weight,3,MSE,5,Test,490.2061293905319
Dummy Regressor,cow,price,3,MAE,1,Train,105.92962962962966
Dummy Regressor,cow,price,3,MAE,2,Train,88.2983929875822
Dummy Regressor,cow,price,3,MAE,3,Train,97.50504017531044
