model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
Dummy Regressor,cow,live weight,MAE,1,Train,44.35555555555556,46,1302,{}
Dummy Regressor,cow,live weight,MAE,2,Train,44.7237399561724,46,1302,{}
Dummy Regressor,cow,live weight,MAE,3,Train,45.79167275383492,46,1302,{}
Dummy Regressor,cow,live weight,MAE,4,Train,47.75704894083273,46,1302,{}
Dummy Regressor,cow,live weight,MAE,5,Train,50.05653761869978,46,1302,{}
Dummy Regressor,cow,live weight,MAE,1,Test,57.74000000000003,46,1302,{}
Dummy Regressor,cow,live weight,MAE,2,Test,58.67327327327329,46,1302,{}
Dummy Regressor,cow,live weight,MAE,3,Test,50.56756756756756,46,1302,{}
Dummy Regressor,cow,live weight,MAE,4,Test,48.10750750750746,46,1302,{}
Dummy Regressor,cow,live weight,MAE,5,Test,33.03423423423425,46,1302,{}
Dummy Regressor,cow,live weight,MSE,1,Train,3413.254444444445,46,1302,{}
Dummy Regressor,cow,live weight,MSE,2,Train,3303.2445726807896,46,1302,{}
Dummy Regressor,cow,live weight,MSE,3,Train,3288.506691015341,46,1302,{}
Dummy Regressor,cow,live weight,MSE,4,Train,3761.743170197225,46,1302,{}
Dummy Regressor,cow,live weight,MSE,5,Train,4083.4105332359395,46,1302,{}
Dummy Regressor,cow,live weight,MSE,1,Test,4987.726000000004,46,1302,{}
Dummy Regressor,cow,live weight,MSE,2,Test,5167.4105624543545,46,1302,{}
Dummy Regressor,cow,live weight,MSE,3,Test,5036.8915672429175,46,1302,{}
Dummy Regressor,cow,live weight,MSE,4,Test,3516.527340313282,46,1302,{}
Dummy Regressor,cow,live weight,MSE,5,Test,1773.7729502475459,46,1302,{}
Dummy Regressor,steer,live weight,MAE,1,Train,34.45623756232686,594,4265,{}
Dummy Regressor,steer,live weight,MAE,2,Train,31.331870138504154,594,4265,{}
Dummy Regressor,steer,live weight,MAE,3,Train,32.87114193905817,594,4265,{}
Dummy Regressor,steer,live weight,MAE,4,Train,32.95990249307478,594,4265,{}
Dummy Regressor,steer,live weight,MAE,5,Train,32.87698255772897,594,4265,{}
Dummy Regressor,steer,live weight,MAE,1,Test,27.256313135780605,594,4265,{}
Dummy Regressor,steer,live weight,MAE,2,Test,39.1220645731977,594,4265,{}
Dummy Regressor,steer,live weight,MAE,3,Test,32.709535603715175,594,4265,{}
Dummy Regressor,steer,live weight,MAE,4,Test,32.7582432551968,594,4265,{}
Dummy Regressor,steer,live weight,MAE,5,Test,32.930576128756584,594,4265,{}
Dummy Regressor,steer,live weight,MSE,1,Train,2601.480401817174,594,4265,{}
Dummy Regressor,steer,live weight,MSE,2,Train,1688.8546143379501,594,4265,{}
Dummy Regressor,steer,live weight,MSE,3,Train,2471.2131180498614,594,4265,{}
Dummy Regressor,steer,live weight,MSE,4,Train,2464.7387694626036,594,4265,{}
Dummy Regressor,steer,live weight,MSE,5,Train,2482.8939126385844,594,4265,{}
Dummy Regressor,steer,live weight,MSE,1,Test,1317.26070795726,594,4265,{}
Dummy Regressor,steer,live weight,MSE,2,Test,4951.8659261308685,594,4265,{}
Dummy Regressor,steer,live weight,MSE,3,Test,1835.9386100350566,594,4265,{}
Dummy Regressor,steer,live weight,MSE,4,Test,1855.0658017890546,594,4265,{}
Dummy Regressor,steer,live weight,MSE,5,Test,1776.5816545883058,594,4265,{}
Dummy Regressor,heifer,live weight,MAE,1,Train,29.565244536940693,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,2,Train,26.0180078621806,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,3,Train,27.316672447681814,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,4,Train,26.48841545368755,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,5,Train,27.25900654865738,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,1,Test,19.086479066575155,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,2,Test,32.33037062457104,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,3,Test,27.497483413406556,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,4,Test,30.024912810974214,233,3066,{}
Dummy Regressor,heifer,live weight,MAE,5,Test,28.504417577307603,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,1,Train,1553.243635102324,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,2,Train,1306.7494325933635,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,3,Train,1377.9797803214246,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,4,Train,1309.6428705424805,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,5,Train,1362.7266676198922,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,1,Test,716.2377009763766,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,2,Test,1688.0095230232005,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,3,Test,1405.244070056064,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,4,Test,1705.2136663094163,233,3066,{}
Dummy Regressor,heifer,live weight,MSE,5,Test,1477.3236183601125,233,3066,{}
Dummy Regressor,cow,carcass weight,MAE,1,Train,23.945987654320984,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,2,Train,25.212563915266614,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,3,Train,22.795471146822493,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,4,Train,27.17677136596056,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,5,Train,27.368882395909424,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,1,Test,31.96666666666666,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,2,Test,28.96546546546545,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,3,Test,35.65915915915916,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,4,Test,21.124624624624598,46,1302,{}
Dummy Regressor,cow,carcass weight,MAE,5,Test,16.794294294294293,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,1,Train,1045.7770061728395,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,2,Train,1010.8520818115412,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,3,Train,944.353542731921,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,4,Train,1250.8984660336014,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,5,Train,1281.8224981738495,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,1,Test,1552.5841049382711,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,2,Test,1654.1081283986678,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,3,Test,1856.255316126938,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,4,Test,674.5151976300614,46,1302,{}
Dummy Regressor,cow,carcass weight,MSE,5,Test,465.48606038470894,46,1302,{}
Dummy Regressor,steer,carcass weight,MAE,1,Train,17.65151024930748,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,2,Train,16.762903047091413,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,3,Train,17.21861495844875,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,4,Train,16.755430470914128,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,5,Train,17.053130075559636,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,1,Test,14.790738611233966,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,2,Test,18.38383900928793,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,3,Test,16.65064130915524,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,4,Test,18.40740380362671,594,4265,{}
Dummy Regressor,steer,carcass weight,MAE,5,Test,17.231323885486397,594,4265,{}
Dummy Regressor,steer,carcass weight,MSE,1,Train,497.99209307479225,594,4265,{}
