animal_type,target,fold,horizon,metric,score,n_train,n_test,n_features,best_params,convergence_warnings_main_process,n_test_dates,n_dates,n_train_dates
steer,live weight,1,60,MAE,32.95885725496755,341,126,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.9}",0,5,21,16
steer,live weight,1,90,MAE,33.237369559912736,341,126,379,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.9}",0,5,21,16
steer,live weight,1,120,MAE,33.06628098819444,341,126,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.9}",0,5,21,16
steer,live weight,2,60,MAE,21.33642127677825,382,85,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,2,90,MAE,22.35226540800538,382,85,379,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,2,120,MAE,24.26129117588593,382,85,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,3,60,MAE,37.3569355445467,409,58,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,3,90,MAE,37.294429435741066,409,58,379,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,3,120,MAE,39.266997218587846,409,58,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.9}",0,4,21,17
steer,live weight,4,60,MAE,41.13619149539638,384,83,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,4,90,MAE,41.48442866084327,384,83,379,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,4,21,17
steer,live weight,4,120,MAE,40.16625165186211,384,83,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.5}",0,4,21,17
steer,live weight,5,60,MAE,32.972073117131835,352,115,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,4,21,17
steer,live weight,5,90,MAE,33.551878287823165,352,115,379,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,4,21,17
steer,live weight,5,120,MAE,33.76197579301221,352,115,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,4,21,17
steer,carcass weight,1,60,MAE,17.39511139262568,341,126,314,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,5,21,16
steer,carcass weight,1,90,MAE,16.82833739559444,341,126,379,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.9}",0,5,21,16
steer,carcass weight,1,120,MAE,16.930436294555435,341,126,444,"{'elasticnet__alpha': 10, 'elasticnet__l1_ratio': 0.1}",0,5,21,16
