pathogen,weather,season,statistic,pvalue
Stx (NeoSeek),Total Rainfall (mm),all,93.60652871090734,0.03484595899456581
Stx (NeoSeek),Total Solar Radiation (MJ/m2/day),all,28.88672330207565,0.057816796206889086
Stx (NeoSeek),Grazing HLI,all,25.91359336260502,0.062060230790880945
C. lari (RT-PCR),THI,all,50.32904512616933,0.09711779448621553
C. lari (RT-PCR),Max Air Temp (oC),all,62.31550800310271,0.09800235883827216
Stx (NeoSeek),Mean RH (%),all,28.470359036259264,0.09919028340080972
C. lari (RT-PCR),Total Rainfall (mm),all,76.29550545783519,0.10585286746277459
Stx (NeoSeek),Total Solar Radiation (MJ/m2/day),summer,3.387895409509781,0.14285714285714285
O103/45/145 (NeoSeek),Total Solar Radiation (MJ/m2/day),summer,3.387895409509781,0.14285714285714285
O103/45/145 (NeoSeek),Total Rainfall (mm),summer,9.681311390235205,0.16071428571428573
Stx (NeoSeek),Total Rainfall (mm),summer,9.681311390235205,0.16071428571428573
O103/45/145 (NeoSeek),Grazing HLI,summer,3.061337532925031,0.16071428571428573
Stx (NeoSeek),Grazing HLI,summer,3.061337532925031,0.16071428571428573
O103/45/145 (NeoSeek),Mean Wind Speed (m/s),all,31.05423104783397,0.2528379772961816
Stx (RT-PCR),Total Rainfall (mm),all,57.10708174110112,0.2549019607843137
Stx (RT-PCR),Grazing HLI,all,18.048440258633832,0.2579979360165119
C. lari (RT-PCR),Mean Wind Speed (m/s),all,30.253924583745622,0.2753206545776205
Salmonella sp. (RT-PCR),Total Solar Radiation (MJ/m2/day),summer,2.42044263744235,0.3142857142857143
O103/45/145 (NeoSeek),Max Air Temp (oC),summer,6.3803093763644085,0.32142857142857145
Stx (NeoSeek),Max Air Temp (oC),summer,6.3803093763644085,0.32142857142857145
Stx (RT-PCR),Total Solar Radiation (MJ/m2/day),all,17.535654661097528,0.3281733746130031
Stx (NeoSeek),Total Rainfall (mm),winter,0.2791254006884105,0.3333333333333333
Stx (NeoSeek),Total Solar Radiation (MJ/m2/day),winter,0.14372539140868731,0.3333333333333333
Stx (NeoSeek),Mean RH (%),winter,0.18737901360554785,0.3333333333333333
Stx (NeoSeek),THI,summer,6.2309471635402875,0.35714285714285715
O103/45/145 (NeoSeek),THI,summer,6.2309471635402875,0.35714285714285715
Salmonella sp. (RT-PCR),Total Rainfall (mm),all,56.146686734138115,0.37184873949579833
Salmonella sp. (RT-PCR),Grazing HLI,summer,1.9647753992183414,0.42857142857142855
O103/45/145 (NeoSeek),Total Rainfall (mm),all,52.72966139666392,0.45503464543712224
O103/45/145 (NeoSeek),Grazing HLI,all,14.540496771158926,0.46951938670204924
C. lari (RT-PCR),Mean RH (%),all,17.414064372278073,0.5107253427686864
Stx (RT-PCR),Max Air Temp (oC),all,33.24910484250881,0.5263157894736842
Salmonella sp. (RT-PCR),Mean RH (%),summer,2.5619099832004237,0.5428571428571428
Stx (NeoSeek),Mean Wind Speed (m/s),all,22.461795338097588,0.5653943579640174
Salmonella sp. (RT-PCR),Mean Wind Speed (m/s),summer,3.4159770918668126,0.5714285714285714
O103/45/145 (NeoSeek),Max Air Temp (oC),all,30.404887725831873,0.5743402624207578
C. lari (RT-PCR),Grazing HLI,all,12.927045907395392,0.5877192982456141
O103/45/145 (NeoSeek),THI,all,24.802623757463014,0.5954592363261094
Stx (RT-PCR),Mean Wind Speed (m/s),all,20.088932557500435,0.6006191950464397
Salmonella sp. (RT-PCR),Total Rainfall (mm),summer,5.887984728258381,0.6571428571428571
Stx (NeoSeek),THI,winter,0.2139201115877977,0.6666666666666666
Stx (NeoSeek),Mean Wind Speed (m/s),winter,0.03822203444150073,0.6666666666666666
Stx (NeoSeek),Max Air Temp (oC),winter,0.2272092351453372,0.6666666666666666
Stx (NeoSeek),Grazing HLI,winter,0.08925900225354064,0.6666666666666666
Stx (RT-PCR),Mean RH (%),all,14.380629564177266,0.6687306501547987
Salmonella sp. (RT-PCR),Total Solar Radiation (MJ/m2/day),all,12.904177529820613,0.6692097891788295
Salmonella sp. (RT-PCR),Grazing HLI,all,11.830771743126814,0.669578357658853
Salmonella sp. (RT-PCR),Max Air Temp (oC),all,26.04544533643104,0.679750847707504
Salmonella sp. (RT-PCR),THI,all,21.9191484433566,0.6909184726522187
Stx (RT-PCR),THI,all,21.406750250935048,0.6945304437564499
Stx (NeoSeek),Mean Wind Speed (m/s),summer,2.763467021369494,0.6964285714285714
O103/45/145 (NeoSeek),Mean Wind Speed (m/s),summer,2.763467021369494,0.6964285714285714
O103/45/145 (NeoSeek),Mean RH (%),summer,1.900146562186175,0.7142857142857143
Stx (NeoSeek),Mean RH (%),summer,1.900146562186175,0.7142857142857143
O103/45/145 (NeoSeek),Total Solar Radiation (MJ/m2/day),all,12.01733959171696,0.7261536193424738
Salmonella sp. (RT-PCR),Mean Wind Speed (m/s),all,18.473534137744927,0.7278490343505823
C. lari (RT-PCR),Total Solar Radiation (MJ/m2/day),all,11.935559212715443,0.7313504349108064
Salmonella sp. (RT-PCR),Mean RH (%),all,12.888678628361916,0.7721141088014153
Stx (NeoSeek),THI,all,19.334269479689652,0.7850895234796164
Salmonella sp. (RT-PCR),THI,summer,2.168271049958422,0.8
Stx (NeoSeek),Max Air Temp (oC),all,20.368445388293274,0.8272532421139233
Salmonella sp. (RT-PCR),Max Air Temp (oC),summer,2.0316111148763114,0.8285714285714286
O103/45/145 (NeoSeek),Mean RH (%),all,8.404850255349423,0.9550346454371222
